t,I,u,I_nn,u_nn
3.2,91.0708919420501,0.37618197605415804,88.76486881078014,0.3703404
3.21,91.99456176122496,0.37242015626349667,89.66078170665955,0.36676615
3.22,92.92752396037544,0.3686959546707708,90.56566757698043,0.3632322
3.23,93.86987277810744,0.36500899509393536,91.47961549398616,0.3597379
3.24,94.82170340117028,0.3613589051128965,92.40271523327203,0.3562832
3.25,95.78311197407129,0.3577453160316399,93.33505727378801,0.35286725
3.26,96.75419560878755,0.3541678628411922,94.27673279783656,0.34949002
3.27,97.73505239457516,0.35062618418266867,95.22783369107322,0.34615135
3.28,98.72578140787702,0.3471199223106954,96.18845254250816,0.3428504
3.29,99.72648272233093,0.34364872305746913,97.15868264450324,0.33958656
3.3,100.73725741887765,0.340212235796741,98.13861799277493,0.33635998
3.31,101.75820759597147,0.33681011340864686,99.12835328639271,0.33317026
3.32,102.78943637989282,0.3334420122444004,100.12798392777911,0.33001643
3.33,103.83104793516542,0.33010759209182267,101.13760602270939,0.32689855
3.34,104.88314747507758,0.3268065161407381,102.15733121631281,0.3238166
3.35,105.9458412723102,0.32353845094919026,103.18728926684841,0.3207698
3.36,107.01923666967097,0.32030306640952605,104.22758009337615,0.3177574
3.37,108.10344209093753,0.3171000357152839,105.27830389797037,0.31477922
3.38,109.19856705180888,0.313929035327953,106.33958770454946,0.3118356
3.39,110.30472217096803,0.31078974494452033,107.41148389854882,0.30892533
3.4,111.42201918125521,0.3076818474648916,108.49412203762924,0.30604833
3.41,112.55057094095437,0.3046050289600836,109.58760789608914,0.3032045
3.42,113.69049144519268,0.30155897864029396,110.6920486412747,0.30039325
3.43,114.8418958374555,0.29854338882372633,111.80755283357976,0.2976142
3.44,116.00490042121669,0.2955579549052953,112.93423042644592,0.29486683
3.45,117.17962267168686,0.29260237532607225,114.07219276636253,0.2921513
3.46,118.36618124767904,0.2896763515426129,115.22155259286657,0.28946662
3.47,119.56469600359499,0.2867795879970114,116.3824240385429,0.28681287
3.48,120.77528800153115,0.28391179208683814,117.5549226290238,0.2841899
3.49,121.99807952350761,0.28107267413578946,118.73916528298969,0.28159693
3.5,123.23319408381941,0.27826194736423016,119.93527031216834,0.27903378
3.51,124.48075644151312,0.2754793278603844,121.14335742133548,0.27649993
3.52,125.74089261298856,0.2727245345515931,122.36354770831448,0.27399516
3.53,127.01372988472757,0.2699972891758634,123.59596366397633,0.27151966
3.54,128.29939682615165,0.2672973162539129,124.84072917223988,0.26907247
3.55,129.5980233026083,0.26462434306115606,126.09796951007169,0.2666535
3.56,130.90974048848923,0.26197809960034835,127.367811347486,0.26426217
3.57,132.23468088047974,0.2593583185741234,128.65038274754474,0.2618986
3.58,133.5729783109428,0.25676473535818184,129.94581316635774,0.25956237
3.59,134.92476796143688,0.254197087974375,131.25423345308212,0.257253
3.6,136.29018637637125,0.251655117064427,132.57577584992322,0.25497025
3.61,137.66937147679786,0.24913856586355437,133.91057399213406,0.25271383
3.62,139.06246257434307,0.24664718017471077,135.25876290801475,0.2504832
3.63,140.46960038527925,0.24418070834273198,136.6205116471402,0.2482787
3.64,141.89092704473896,0.24173890122909295,137.99589309490736,0.24609938
3.65,143.3265861210715,0.23932151218656722,139.38507876286832,0.24394488
3.66,144.77672263034535,0.2369282970344864,140.78820925154764,0.24181561
3.67,146.2414830509956,0.23455901403390372,142.2054265545176,0.23971073
3.68,147.72101533862048,0.23221342386334617,143.63687405839875,0.23763049
